(Code,Title,Start Date,End Date,,Venue - Name,Sold Out,Custom: Finalisation date,Available space),
('CB1_LO_6','CB1-01-25S','27/05/2025 09:00','31/07/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',5),
('CB1_LO_3','CB1-10-25S','03/06/2025 09:30','17/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CB1_LO_3','CB1-11-25S','17/06/2025 09:30','14/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',14),
('CB1_f2f_3','CB1-20-25S','29/05/2025 09:30','14/07/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'28/04/2025',0),
('CB1_f2f_3','CB1-21-25S','11/06/2025 09:30','29/07/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'12/05/2025',1),
('CB1_f2f_3','CB1-22-25S','12/06/2025 09:30','25/07/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'12/05/2025',2),
('CB1_f2f_3','CB1-30-25S','19/06/2025 09:30','24/07/2025 17:00','Tutorial - Edinburgh','Edinburgh Training and Conf'' Centre',FALSE,'12/05/2025',12),
('CB1_f2f_3','CB1-32-25S','19/06/2025 09:30','24/07/2025 17:00','Tutorial - Manchester','BPP Manchester',FALSE,'28/05/2025',7),
('CB1_LO_3','CB1-40-25S','18/06/2025 09:30','18/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',7),
('CB1_LO_3','CB1-41-25S','24/06/2025 09:30','13/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',0),
('CB1_f2f_3','CB1-50-25S','08/07/2025 09:30','04/08/2025 17:00','Tutorial - London','BPP London East (Portsoken)',FALSE,'02/06/2025',12),
('CB1_LO_3','CB1-60-25S','16/07/2025 09:30','07/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',3),
('CB1_f2f_3','CB1-70-25S','04/08/2025 09:30','06/08/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'14/07/2025',10),
('CB2_LO_4','CB2-10-25S','21/05/2025 09:30','16/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',2),
('CB2_LO_4','CB2-11-25S','02/06/2025 09:30','08/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CB2_f2f_4','CB2-20-25S','27/05/2025 09:30','22/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'28/04/2025',0),
