ppv_id,kind,product_id,product_code,product_shortname,product_fullname,variation_type,variation_code,variation_name,variation_description,current_group_code,current_group_name,target_filter_group_code,target_filter_group_name,rationale
3415,orphan,8301,M,Practice Exam Marking,Practice Exam Marking,Marking,M,Marking,,,,,,
4383,orphan,8515,M,Mock Exam Marking,Mock Exam Marking,Marking,M,Marking,,,,,,
3419,orphan,8305,B,Materials & Marking,Materials & Marking Bundle,Printed,P,Printed,,,,,,
3420,orphan,8306,TB,M1 Bronze Printed Book,Module 1 Bronze (printed book only),Printed,P,Printed,,,,,,
3421,orphan,8307,TB,M4 Bronze Printed Book,Module 4 Bronze (printed book only),Printed,P,Printed,,,,,,
3422,orphan,8308,TB,M5 Bronze Printed Book,Module 5 Bronze (printed book only),Printed,P,Printed,,,,,,
3423,orphan,8309,TB,PM&S Bronze Printed,PM&S Bronze (printed book only),Printed,P,Printed,,,,,,
3424,orphan,8310,TB2,Printed Textbook 2nd,Module 0 Bronze (printed 2nd Edition),Printed,P,Printed,,,,,,
3425,orphan,8311,TB2,Printed Textbook 2nd,Module 2 Bronze (printed 2nd Edition),Printed,P,Printed,,,,,,
3426,orphan,8312,TB2,Printed Textbook 2nd,Module 3 Bronze (printed 2nd Edition),Printed,P,Printed,,,,,,
3427,orphan,8313,TB2,PM&S Bronze Printed,PM&S Bronze (printed 2nd Edition),Printed,P,Printed,,,,,,
4164,orphan,8359,PMB,MS Bronze,Maths & Stats Bronze,Printed,P,Printed,,,,,,
4165,orphan,8362,PMG,MS Gold,Maths & Stats Gold,Printed,P,Printed,,,,,,
4166,orphan,8363,PMS,MS Silver,Maths & Stats Silver,Printed,P,Printed,,,,,,
4379,orphan,8513,CPR,CMP Part Retaker,Combined Materials (Part. Retaker),Printed,P,Printed,,,,,,
4381,orphan,8514,NPR,Notes Part Retaker,Course Notes (Part. Retaker),Printed,P,Printed,,,,,,
